Test Case Name,Build ID,Flaky Frequency,Dependency Coverage,Test Smells,Previous State,Test Size,Flaky or Not
test_vocab_lexeme_add_flag_provided_id,490707733,0.25,0,0,0,6,1
test_to_from_bytes,490707733,0.25,0,0,0,7,1
test_serialize_tensorizer_roundtrip_bytes,490707733,0.25,0,0,0,5,1
test_serialize_tagger_roundtrip_disk,490707733,0.25,0,0,0,9,1
test_serialize_parser_roundtrip_bytes,490707733,0.25,0,0,0,6,1
test_serialize_parser_roundtrip_disk,490707733,0.25,0,0,0,9,1
test_serialize_tensorizer_roundtrip_disk,490707733,0.25,0,0,0,7,1
test_underscore_raises_for_dup,490707733,0.25,0,0,0,3,1
test_doc_add_entities_set_ents_iob,490707733,0.25,0,0,0,11,1
test_displacy_spans,490707733,0.25,0,0,0,5,1
test_issue1971,490707733,0.25,1,0,0,15,0
test_tokenizer_handles_single_word,490707733,0.25,0,0,0,2,1
test_vocab_lexeme_add_flag_auto_id,490707733,0.25,0,0,0,7,1
test_serialize_custom_tokenizer,490707733,0.25,0,0,0,5,1
test_pickle_vocab,689759391,0.24,0,0,2,5,0
test_vocab_lexeme_add_flag_auto_id,689759391,0.25,0,0,2,7,1
test_vectors_serialize,689759391,0.08,0,0,2,25,0
test_issue5152,689759391,0.08,0,0,2,13,0
test_matcher_schema_token_attributes,689759391,0.25,0,1,2,6,1
test_tokenizer_handles_single_word,689759391,0.25,0,0,2,2,1
test_doc_retokenizer_merge_lex_attrs,689759391,0.25,0,0,2,23,1
test_doc_retokenize_spans_entity_merge_iob,689759391,0.25,0,0,2,82,1
test_doc_retokenize_merge_extension_attrs,689759391,0.25,0,0,2,19,1
test_retokenize_skip_duplicates,689759391,0.25,0,0,2,8,1
test_issue3288,689759391,0.25,0,0,2,8,1
test_matcher_from_usage_docs,689759391,0.25,0,0,2,18,1
test_underscore_raises_for_dup,461816736,0.25,0,0,0,3,1
test_pickle_vocab,464603539,0.25,0,0,1,15,0
test_underscore_raises_for_dup,464603539,0.25,0,0,1,3,1
test_vocab_lexeme_add_flag_auto_id,464603539,0.25,0,0,1,7,1
test_doc_add_entities_set_ents_iob,464603539,0.25,0,0,1,11,1
test_to_from_bytes,464603539,0.25,0,0,1,7,1
test_serialize_parser_roundtrip_bytes,464603539,0.25,0,0,1,6,1
test_serialize_tensorizer_roundtrip_bytes,464603539,0.25,0,0,1,5,1
test_serialize_tagger_roundtrip_disk,464603539,0.25,0,0,1,9,1
test_serialize_parser_roundtrip_disk,464603539,0.25,0,0,1,9,1
test_serialize_tensorizer_roundtrip_disk,464603539,0.25,0,0,1,7,1
test_serialize_custom_tokenizer,464603539,0.25,0,0,1,5,1
test_vocab_lexeme_add_flag_provided_id,464603539,0.25,0,0,1,6,1
test_tokenizer_handles_single_word,464603539,0.25,0,0,1,2,1
test_pickle_vocab,689779338,0.21,0,0,1,5,0
test_matcher_schema_token_attributes,689779338,0.25,0,1,1,6,1
test_issue5152,689779338,0.07,0,0,1,13,0
test_vectors_serialize,689779338,0.07,0,0,1,25,0
test_issue5458,689779338,0.12,0,0,1,12,0
test_issue3288,689779338,0.25,0,0,1,8,1
test_tokenizer_handles_single_word,689779338,0.25,0,0,1,2,1
test_matcher_from_usage_docs,689779338,0.25,0,0,1,18,1
test_retokenize_skip_duplicates,689779338,0.25,0,0,1,8,1
test_doc_retokenizer_merge_lex_attrs,689779338,0.25,0,0,1,23,1
test_doc_retokenize_merge_extension_attrs,689779338,0.25,0,0,1,19,1
test_doc_retokenize_spans_entity_merge_iob,689779338,0.25,0,0,1,82,1
test_vocab_lexeme_add_flag_auto_id,689779338,0.25,0,0,1,7,1
test_issue5838,712993434,0.17,1,0,0,8,0
test_tokenizer_handles_single_word,712993434,0.25,0,0,0,2,1
test_matcher_schema_token_attributes,712993434,0.25,0,1,0,6,1
test_matcher_from_usage_docs,712993434,0.25,0,0,0,18,1
test_vocab_lexeme_add_flag_auto_id,712993434,0.25,0,0,0,7,1
test_issue3288,712993434,0.25,0,0,0,8,1
test_doc_retokenize_spans_entity_merge_iob,712993434,0.25,0,0,0,82,1
test_retokenize_skip_duplicates,712993434,0.25,0,0,0,8,1
test_doc_retokenize_merge_extension_attrs,712993434,0.25,0,0,0,19,1
test_doc_retokenizer_merge_lex_attrs,712993434,0.25,0,0,0,23,1
test_underscore_raises_for_dup,502856142,0.25,0,0,1,3,1
test_vocab_lexeme_add_flag_auto_id,502856142,0.25,0,0,1,7,1
test_vocab_lexeme_add_flag_provided_id,502856142,0.25,0,0,1,6,1
test_serialize_custom_tokenizer,502856142,0.25,0,0,1,5,1
test_issue3009,502856142,0.33,0,0,1,4,0
test_tokenizer_handles_single_word,502856142,0.25,0,0,1,2,1
test_serialize_tensorizer_roundtrip_bytes,502856142,0.25,0,0,1,5,1
test_doc_add_entities_set_ents_iob,502856142,0.25,0,0,1,10,1
test_serialize_parser_roundtrip_bytes,502856142,0.25,0,0,1,6,1
test_serialize_tensorizer_roundtrip_disk,502856142,0.25,0,0,1,7,1
